weekday,UId,date,TimeOfDay,count
3,ravi.kumar84,2023-02-14,3.0,8
3,ramanuj.dey,2023-02-14,3.0,6
3,robins.kumar.hvpn,2023-02-14,4.0,3
3,rohan.patil93,2023-02-14,4.0,2
4,tashi.chotton,2023-02-15,1.0,2
4,i.120120983.itbp,2023-02-15,1.0,4
4,ravindra.kumar,2023-02-15,1.0,5
4,mkchaudhary.dfcc,2023-02-15,1.0,2
4,mannatjh,2023-02-15,1.0,4
4,sushil.7007,2023-02-15,2.0,2
4,s.jaluthra,2023-02-15,2.0,2
4,smstst2-wbpd,2023-02-15,2.0,2
4,dantlasaik.comm,2023-02-15,2.0,2
4,jyoti.iwai,2023-02-15,2.0,2
4,cssingh83.bih,2023-02-15,2.0,2
4,ramkmeena.asi,2023-02-15,2.0,4
4,amitkumar.cwc,2023-02-15,2.0,2
4,mgr.maidc-it,2023-02-15,2.0,4
4,satyapadma.1968,2023-02-15,2.0,4
4,rakesh.19949,2023-02-15,2.0,2
4,pradeep1972.fmu,2023-02-15,2.0,4
4,lda5pco.tpt-wb,2023-02-15,2.0,3
4,jrasstt01-flori,2023-02-15,2.0,2
4,rangarao.sv,2023-02-15,2.0,2
4,uda5gri.fd-wb,2023-02-15,2.0,5
4,ujwalads.c099301,2023-02-15,2.0,2
4,talla.ravi,2023-02-15,2.0,2
4,aloks.ecorly,2023-02-15,2.0,2
4,rakesh78.fci,2023-02-15,2.0,2
4,mandar.patil,2023-02-15,2.0,4
4,asha.2323,2023-02-15,2.0,4
4,rajeshj.g140001,2023-02-15,2.0,4
4,amits.raj.au,2023-02-15,2.0,2
4,diwakar.151447.cbdt,2023-02-15,3.0,2
4,sunilvarnekar.tmr,2023-02-15,3.0,2
4,deepaksm.g019301,2023-02-15,3.0,2
4,navearya.esic,2023-02-15,3.0,3
4,abhishek.ch15,2023-02-15,3.0,2
4,deputysecretary-vs,2023-02-15,3.0,2
4,vishal.sakhar86.gsi,2023-02-15,3.0,4
4,lsnarnolia.cwhc,2023-02-15,3.0,3
4,achoudhary1990.dad,2023-02-15,3.0,3
4,acc2.hr.epf,2023-02-15,3.0,2
4,rkpandey.cil,2023-02-15,3.0,4
